1	0	1	1	0	0	0	0	0	0	0	0	3.295836866004329	3.295836866004329	1	1	1
1	1	1	0	0	0	0	0	0	0	0	0	2.5649493574615367	3.6888794541139363	1	1	1
1	0	1	1	0	0	0	1	0	0	1	0	3.4657359027997265	3.044522437723423	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	3.6109179126442243	2.772588722239781	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	3.5553480614894135	2.833213344056216	1	1	1
1	0	1	1	1	0	0	1	0	0	0	0	3.8066624897703196	1.791759469228055	1	1	1
1	0	0	0	0	0	0	1	0	0	0	0	3.912023005428146	0.0	0	1	1
1	0	1	0	0	0	0	1	0	0	0	0	3.912023005428146	0.0	0	1	1
1	0	1	0	0	0	0	0	0	0	0	0	0.0	3.912023005428146	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.70805020110221	3.5553480614894135	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	3.6635616461296463	2.3978952727983707	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	3.6888794541139363	2.302585092994046	1	1	1
1	0	1	1	1	0	0	0	0	0	0	0	3.4011973816621555	2.995732273553991	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	2.9444389791664403	3.4011973816621555	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	3.5263605246161616	2.5649493574615367	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	3.713572066704308	1.6094379124341003	1	1	1
1	0	0	0	0	0	0	0	0	0	0	0	3.1354942159291497	3.1354942159291497	1	1	1
1	0	1	0	0	0	0	0	0	1	0	0	3.1354942159291497	3.1354942159291497	1	1	1
1	0	1	1	1	0	0	0	0	0	0	0	3.091042453358316	3.1354942159291497	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	2.9444389791664403	3.2188758248682006	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	3.2188758248682006	2.9444389791664403	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	3.367295829986474	2.6390573296152584	1	1	1
1	0	1	1	0	0	0	1	0	0	1	0	2.995732273553991	3.1354942159291497	1	1	1
1	0	0	0	0	0	0	0	0	0	0	0	2.9444389791664403	3.1354942159291497	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	3.258096538021482	2.772588722239781	1	1	1
1	0	1	1	0	0	0	0	0	1	0	0	3.4339872044851463	2.302585092994046	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	3.1354942159291497	2.8903717578961645	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	3.5553480614894135	1.791759469228055	1	1	1
1	0	1	1	1	1	0	1	0	0	0	0	3.4339872044851463	2.302585092994046	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	3.4011973816621555	2.302585092994046	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	3.044522437723423	2.9444389791664403	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	3.1780538303479458	2.772588722239781	1	1	1
1	0	0	0	0	0	0	1	0	0	0	0	3.5263605246161616	1.791759469228055	1	1	1
1	1	1	0	0	0	0	0	0	0	0	0	2.833213344056216	3.1354942159291497	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	3.295836866004329	2.5649493574615367	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	2.8903717578961645	3.044522437723423	1	1	1
1	0	1	1	1	0	0	0	0	0	0	0	3.5553480614894135	1.3862943611198906	1	1	1
1	0	1	0	0	0	0	1	0	1	0	0	3.5553480614894135	1.3862943611198906	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	3.2188758248682006	2.6390573296152584	1	1	1
1	0	0	0	0	0	0	1	0	0	0	0	3.4965075614664802	1.6094379124341003	1	1	1
1	0	0	0	0	0	0	1	0	0	0	0	3.6109179126442243	0.0	0	1	1
1	0	0	0	0	0	0	1	0	0	1	0	3.6109179126442243	0.0	0	1	1
1	0	1	0	0	0	0	1	0	0	0	0	2.995732273553991	2.8903717578961645	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	2.9444389791664403	2.9444389791664403	1	1	1
1	0	1	1	0	0	0	0	1	0	0	1	3.4339872044851463	1.791759469228055	1	1	1
1	0	0	0	0	0	0	1	0	0	0	0	3.1354942159291497	2.6390573296152584	1	1	1
1	0	1	1	1	0	0	0	0	0	0	0	3.1780538303479458	2.5649493574615367	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	3.1780538303479458	2.5649493574615367	1	1	1
1	0	0	0	0	0	0	0	1	1	0	0	3.5263605246161616	1.0986122886681098	1	1	1
0	0	1	1	0	0	0	1	0	0	0	0	2.9444389791664403	2.8903717578961645	1	1	1
1	1	1	0	0	0	0	0	0	0	0	0	2.9444389791664403	2.8903717578961645	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	3.5553480614894135	0.6931471805599453	1	1	1
1	1	1	1	1	0	0	0	0	0	0	0	3.332204510175204	2.0794415416798357	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	3.044522437723423	2.70805020110221	1	1	1
1	0	1	0	1	0	0	0	0	1	0	0	2.70805020110221	2.995732273553991	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	3.1780538303479458	2.3978952727983707	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	3.1780538303479458	2.3978952727983707	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	3.1354942159291497	2.3978952727983707	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.772588722239781	2.8903717578961645	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	3.1780538303479458	2.302585092994046	1	1	1
1	1	0	0	0	0	0	0	0	0	0	1	0.0	3.4965075614664802	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.995732273553991	2.5649493574615367	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	2.833213344056216	2.70805020110221	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	3.4011973816621555	0.6931471805599453	1	1	1
1	0	1	0	0	0	0	1	0	0	1	0	2.5649493574615367	2.9444389791664403	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	3.091042453358316	2.302585092994046	1	1	1
1	0	0	0	0	0	0	1	0	0	0	0	3.4011973816621555	0.0	0	1	1
1	0	0	0	0	0	0	0	0	0	0	1	3.4011973816621555	0.0	1	1	1
0	0	1	0	0	0	0	0	0	0	0	0	3.091042453358316	2.1972245773362196	1	1	1
1	0	1	1	1	0	0	0	0	0	0	0	2.3978952727983707	2.995732273553991	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.6390573296152584	2.772588722239781	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	3.2188758248682006	1.6094379124341003	1	1	1
0	0	1	1	0	0	0	0	1	0	0	0	2.8903717578961645	2.4849066497880004	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	3.044522437723423	2.1972245773362196	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	2.833213344056216	2.5649493574615367	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	2.772588722239781	2.5649493574615367	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	3.1780538303479458	1.6094379124341003	1	1	1
1	0	1	1	0	0	0	0	0	0	0	1	2.70805020110221	2.6390573296152584	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	3.1780538303479458	1.6094379124341003	1	1	1
1	0	0	0	0	0	0	0	0	1	0	0	0.0	3.332204510175204	1	1	1
1	0	0	0	0	0	0	1	0	0	0	0	3.1780538303479458	1.6094379124341003	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	2.70805020110221	2.6390573296152584	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	2.4849066497880004	2.833213344056216	1	1	1
1	0	1	0	0	0	0	0	0	1	0	0	3.258096538021482	0.6931471805599453	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.772588722239781	2.4849066497880004	1	1	1
1	0	1	1	1	0	0	1	0	0	0	0	3.258096538021482	0.0	0	1	1
1	0	0	0	0	0	0	0	0	0	0	0	3.258096538021482	0.0	1	1	1
0	0	1	1	1	0	0	1	0	0	1	0	2.6390573296152584	2.5649493574615367	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	2.6390573296152584	2.5649493574615367	1	1	1
1	0	1	1	1	0	0	1	0	0	0	0	2.0794415416798357	2.9444389791664403	1	1	1
1	0	0	0	0	0	0	1	0	0	1	0	3.2188758248682006	0.0	0	1	1
1	0	1	1	0	0	0	1	0	0	0	0	2.70805020110221	2.3978952727983707	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	2.1972245773362196	2.833213344056216	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	2.995732273553991	1.791759469228055	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.833213344056216	2.1972245773362196	1	1	1
1	0	1	0	0	0	0	0	1	0	0	0	3.2188758248682006	0.0	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	3.044522437723423	1.6094379124341003	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	1.9459101490553132	2.8903717578961645	1	1	1
1	0	1	1	1	0	0	0	0	0	0	0	2.1972245773362196	2.772588722239781	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	2.8903717578961645	1.9459101490553132	1	1	1
1	0	1	1	0	0	0	1	0	0	1	0	2.772588722239781	2.1972245773362196	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	2.6390573296152584	2.3978952727983707	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.9444389791664403	1.791759469228055	0	1	1
1	0	1	1	0	0	0	0	0	0	0	0	3.044522437723423	1.3862943611198906	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	3.044522437723423	1.3862943611198906	1	1	1
1	1	1	0	0	0	0	0	0	0	0	0	2.772588722239781	2.1972245773362196	1	1	1
1	0	1	1	0	0	0	0	0	0	0	1	2.4849066497880004	2.5649493574615367	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.4849066497880004	2.5649493574615367	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	3.044522437723423	1.0986122886681098	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.8903717578961645	1.791759469228055	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	2.302585092994046	2.6390573296152584	1	1	1
1	0	0	0	0	0	0	0	0	0	0	0	2.6390573296152584	2.302585092994046	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	3.1354942159291497	0.0	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	2.70805020110221	2.1972245773362196	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.772588722239781	2.0794415416798357	1	1	1
1	0	0	0	0	0	0	0	0	0	0	0	2.70805020110221	2.1972245773362196	1	1	1
1	0	0	0	0	0	0	1	0	0	0	0	3.044522437723423	1.0986122886681098	1	1	1
1	0	0	0	0	0	0	0	0	0	0	0	2.8903717578961645	1.6094379124341003	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.6390573296152584	2.1972245773362196	1	1	1
1	1	0	0	0	0	0	0	0	0	0	0	3.091042453358316	0.0	0	1	1
1	1	1	1	1	0	0	0	0	0	0	0	2.5649493574615367	2.302585092994046	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	2.4849066497880004	2.3978952727983707	1	1	1
1	0	1	1	1	0	0	1	0	0	0	0	3.091042453358316	0.0	1	1	1
1	0	1	1	1	0	0	0	0	0	0	0	2.1972245773362196	2.6390573296152584	1	1	1
0	0	1	1	0	0	0	1	0	0	0	0	2.9444389791664403	1.3862943611198906	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.4849066497880004	2.302585092994046	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.6390573296152584	2.0794415416798357	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	2.4849066497880004	2.302585092994046	1	1	1
1	0	1	1	1	0	0	1	0	0	0	0	2.1972245773362196	2.5649493574615367	1	1	1
1	0	1	0	1	0	0	1	0	0	0	0	2.6390573296152584	2.0794415416798357	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.3978952727983707	2.3978952727983707	1	1	1
1	1	1	1	0	0	0	0	0	0	0	0	2.772588722239781	1.791759469228055	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	2.70805020110221	1.9459101490553132	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	2.3978952727983707	2.3978952727983707	1	1	1
1	0	1	0	0	0	0	1	0	0	1	0	2.8903717578961645	1.0986122886681098	1	1	1
1	0	0	0	1	0	0	1	0	1	0	0	2.995732273553991	0.0	0	1	1
1	0	1	0	0	0	0	1	0	0	0	0	2.302585092994046	2.3978952727983707	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	2.1972245773362196	2.4849066497880004	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	2.5649493574615367	2.0794415416798357	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.302585092994046	2.3978952727983707	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	2.6390573296152584	1.9459101490553132	1	1	1
1	0	1	1	1	0	0	0	0	0	0	0	2.9444389791664403	0.6931471805599453	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.3978952727983707	2.302585092994046	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	2.302585092994046	2.3978952727983707	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	2.302585092994046	2.3978952727983707	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.772588722239781	1.3862943611198906	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.0794415416798357	2.4849066497880004	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.6390573296152584	1.791759469228055	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	2.9444389791664403	0.0	0	1	1
1	0	1	1	0	0	0	1	0	0	0	0	2.302585092994046	2.302585092994046	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.3978952727983707	2.1972245773362196	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	2.9444389791664403	0.0	0	1	1
1	0	1	0	0	0	0	0	0	0	0	0	2.70805020110221	1.6094379124341003	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	2.6390573296152584	1.791759469228055	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.6390573296152584	1.791759469228055	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	2.302585092994046	2.302585092994046	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	2.70805020110221	1.6094379124341003	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	2.3978952727983707	2.1972245773362196	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.4849066497880004	2.0794415416798357	1	1	1
1	0	1	0	1	0	0	1	0	0	0	0	2.3978952727983707	2.1972245773362196	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.833213344056216	1.0986122886681098	1	1	1
1	0	1	1	1	0	0	1	0	0	0	0	2.3978952727983707	2.1972245773362196	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	2.833213344056216	0.6931471805599453	1	1	1
1	0	0	0	0	0	0	1	0	0	0	0	2.8903717578961645	0.0	1	1	1
1	0	1	1	0	0	0	0	0	1	0	0	2.6390573296152584	1.6094379124341003	1	1	1
1	1	1	1	1	0	0	0	0	0	0	0	2.3978952727983707	2.0794415416798357	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	2.0794415416798357	2.3978952727983707	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.5649493574615367	1.791759469228055	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.70805020110221	1.3862943611198906	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.0794415416798357	2.3978952727983707	1	1	1
1	0	1	0	1	0	0	0	0	1	0	0	0.0	2.8903717578961645	1	1	1
1	0	0	0	0	0	0	0	0	1	0	0	2.6390573296152584	1.6094379124341003	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.833213344056216	0.6931471805599453	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	2.8903717578961645	0.0	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	2.0794415416798357	2.3978952727983707	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	2.302585092994046	2.1972245773362196	1	1	1
1	1	1	1	0	0	0	0	0	0	0	1	1.6094379124341003	2.6390573296152584	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	2.772588722239781	0.6931471805599453	1	1	1
1	1	1	1	0	0	0	0	0	0	0	0	2.1972245773362196	2.1972245773362196	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	2.1972245773362196	2.1972245773362196	1	1	1
1	0	1	0	1	0	0	1	0	0	0	0	2.1972245773362196	2.1972245773362196	1	1	1
1	0	1	0	0	0	0	0	1	0	0	1	1.3862943611198906	2.6390573296152584	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.0794415416798357	2.302585092994046	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	2.3978952727983707	1.9459101490553132	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	2.302585092994046	2.0794415416798357	1	1	1
1	0	1	1	0	0	0	1	0	0	1	0	2.0794415416798357	2.1972245773362196	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	2.3978952727983707	1.791759469228055	1	1	1
1	1	1	1	1	0	0	0	0	0	0	0	2.302585092994046	1.9459101490553132	1	1	1
1	0	0	0	0	0	0	1	0	0	0	0	2.772588722239781	0.0	0	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.772588722239781	0.0	1	1	1
1	0	1	1	1	0	0	0	0	0	0	0	2.4849066497880004	1.6094379124341003	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	2.3978952727983707	1.791759469228055	1	1	1
1	0	1	1	1	0	0	0	0	1	0	0	2.302585092994046	1.9459101490553132	1	1	1
0	0	1	1	0	0	0	0	0	0	0	0	2.302585092994046	1.9459101490553132	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.4849066497880004	1.6094379124341003	1	1	1
1	1	1	1	0	0	0	0	0	0	0	0	2.6390573296152584	1.0986122886681098	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.5649493574615367	1.3862943611198906	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	1.6094379124341003	2.4849066497880004	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.3978952727983707	1.791759469228055	1	1	1
1	1	1	0	1	0	0	0	0	0	0	0	2.6390573296152584	1.0986122886681098	1	1	1
1	0	1	1	1	0	0	1	0	0	0	0	2.5649493574615367	1.3862943611198906	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	0.0	2.70805020110221	1	1	1
1	0	0	0	0	0	0	1	0	0	0	0	2.70805020110221	0.0	0	1	1
1	0	1	0	0	0	0	1	0	0	0	0	2.3978952727983707	1.6094379124341003	1	1	1
1	0	1	1	1	0	0	0	0	0	0	0	2.0794415416798357	2.0794415416798357	1	1	1
1	0	0	0	0	0	0	1	0	0	0	0	2.70805020110221	0.0	0	1	1
1	0	1	0	0	0	0	1	0	0	0	0	2.70805020110221	0.0	0	1	1
1	1	1	1	0	0	0	0	0	0	0	0	1.6094379124341003	2.3978952727983707	1	1	1
1	0	1	1	0	0	0	0	0	1	0	0	2.0794415416798357	2.0794415416798357	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	2.302585092994046	1.791759469228055	1	1	1
1	1	1	0	1	0	0	0	0	0	0	0	2.4849066497880004	1.3862943611198906	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	1.9459101490553132	2.1972245773362196	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	1.9459101490553132	2.1972245773362196	1	1	1
1	1	1	1	0	0	0	0	0	0	0	0	2.1972245773362196	1.9459101490553132	1	1	1
0	0	1	1	0	0	0	1	0	0	0	0	2.0794415416798357	2.0794415416798357	1	1	1
1	1	1	0	0	0	0	0	0	0	0	0	2.70805020110221	0.0	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	2.1972245773362196	1.9459101490553132	1	1	1
1	0	0	0	0	0	0	1	0	0	0	0	2.6390573296152584	0.0	0	1	1
1	0	0	0	0	0	0	1	0	0	1	0	2.6390573296152584	0.0	0	1	1
1	0	0	0	0	0	0	1	0	0	0	0	2.6390573296152584	0.0	0	1	1
1	0	0	0	0	0	0	1	0	0	1	0	2.6390573296152584	0.0	0	1	1
1	0	0	0	0	0	0	1	0	0	0	0	2.6390573296152584	0.0	0	1	1
1	0	1	0	0	0	0	1	0	0	0	0	2.302585092994046	1.6094379124341003	1	1	1
1	0	0	0	0	0	0	1	0	0	0	0	2.6390573296152584	0.0	0	1	1
